ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
fd835588-2926-44d8-bb79-3abdef5f102c,1996-09-04,,771-69-8360,hR82626892,RY42250928,Mrs.,Marie,Wilson,DDS,,Single,Native American,Hispanic or Latino,M,"West Michelleland, AS","1956 Wendy Court Suite 677 Romeroburgh, ND 88201"
fd835588-2926-44d8-bb79-3abdef5f102c,1927-03-19,,226-32-0857,SY59536241,sA84582711,Mr.,Theresa,Savage,DDS,,Widowed,Other,Hispanic or Latino,F,"Lake Toddview, MS","987 Jacqueline Divide Georgeville, ID 95577"
fd835588-2926-44d8-bb79-3abdef5f102c,1987-01-10,,473-72-3218,Ut48348313,WO92135553,Mr.,Matthew,Holmes,III,,Married,Asian,Not Hispanic or Latino,M,"Port Lindsey, MN","4934 Richards Parks Timothymouth, MT 06531"
fd835588-2926-44d8-bb79-3abdef5f102c,1927-01-12,,060-11-8585,Ei63731702,Nj28237208,Miss,Beverly,Burke,DVM,,Married,White,Not Hispanic or Latino,M,"Thomasburgh, NE","4802 Burnett Hill Suite 911 Port Gabrielachester, MS 03018"
fd835588-2926-44d8-bb79-3abdef5f102c,1943-01-18,,551-07-4705,Hp57768134,XG05356894,Mrs.,Robert,Davidson,DDS,,Widowed,Asian,Not Hispanic or Latino,F,"Susanland, NC","51841 Williams Wells Lake Rickeyville, LA 10259"
fd835588-2926-44d8-bb79-3abdef5f102c,1971-06-19,,519-14-2891,pE75655762,kg28822746,Mrs.,Brenda,Young,Jr.,,Divorced,Black,Not Hispanic or Latino,M,"Lake Jasminfort, WY","98596 Holloway Springs Suite 185 Shannonton, NH 33219"
fd835588-2926-44d8-bb79-3abdef5f102c,1959-02-21,,010-58-2574,cC59281594,nb79573141,Mrs.,David,Taylor,Jr.,,Widowed,Other,Not Hispanic or Latino,F,"Lake Julia, IA","732 Denise Hollow Apt. 957 East Tiffanyfurt, SC 98124"
fd835588-2926-44d8-bb79-3abdef5f102c,1957-10-23,,700-70-8322,vy68012575,wS55256162,Dr.,Ashley,Smith,MD,Hogan,Divorced,Black,Not Hispanic or Latino,F,"Andreatown, AS","94165 Edwards Island Apt. 081 Robertshire, MH 34361"
fd835588-2926-44d8-bb79-3abdef5f102c,1975-03-19,,678-09-2907,Qh75760156,PX48713246,Dr.,David,Adams,II,,Single,White,Hispanic or Latino,F,"Lyonsside, MT","663 Curtis Junctions Apt. 922 Reedside, MS 57413"
fd835588-2926-44d8-bb79-3abdef5f102c,1982-08-15,,014-74-3941,fM27788812,bE63131725,Mx.,Nicholas,Moore,MD,,Single,Native American,Not Hispanic or Latino,F,"New Jessica, RI","6277 Walker Throughway Cheyenneborough, PW 87836"
